Date,GLD,QQQ,SPY,TLT
2015-01-02,114.08000183105469,94.56116485595703,169.6878662109375,93.02375793457031
2015-01-05,115.80000305175781,93.174072265625,166.6233673095703,94.48501586914062
2015-01-06,117.12000274658203,91.92476654052734,165.05397033691406,96.18738555908203
2015-01-07,116.43000030517578,93.1097412109375,167.1106719970703,95.99744415283203
2015-01-08,115.94000244140625,94.8918685913086,170.07611083984375,94.72615051269531
2015-01-09,117.26000213623047,94.26719665527344,168.71316528320312,95.76360321044922
2015-01-12,118.55999755859375,93.28428649902344,167.39149475097656,96.31153106689453
2015-01-13,118.16000366210938,93.2566909790039,166.92068481445312,96.31153106689453
2015-01-14,117.97000122070312,92.74230194091797,165.91294860839844,97.04220581054688
2015-01-15,120.94000244140625,91.53890228271484,164.39306640625,98.5692138671875
2015-01-16,122.5199966430664,92.61373901367188,166.5490264892578,97.31251525878906
2015-01-20,124.19999694824219,93.34857940673828,166.90419006347656,98.60572052001953
2015-01-21,124.2300033569336,93.82627868652344,167.7467498779297,97.46595764160156
2015-01-22,125.2300033569336,95.56242370605469,170.24127197265625,97.11527252197266
2015-01-23,124.2300033569336,95.77371215820312,169.307861328125,98.46690368652344
2015-01-26,122.98999786376953,95.66348266601562,169.70433044433594,98.16736602783203
2015-01-27,124.4000015258789,93.1832275390625,167.46588134765625,98.32081604003906
2015-01-28,123.41999816894531,92.70555114746094,165.3182373046875,99.92819213867188
2015-01-29,120.76000213623047,93.59660339355469,166.84634399414062,99.27063751220703
2015-01-30,123.44999694824219,92.87092590332031,164.74827575683594,101.03146362304688
2015-02-02,122.41999816894531,93.67930603027344,166.78858947753906,100.65003204345703
2015-02-03,121.05000305175781,94.57954406738281,169.2005157470703,98.51959991455078
2015-02-04,121.58000183105469,94.49685668945312,168.5561981201172,98.68794250488281
2015-02-05,121.79000091552734,95.31439208984375,170.25779724121094,97.60444641113281
2015-02-06,118.63999938964844,94.73566436767578,169.78697204589844,95.87667083740234
2015-02-09,119.16999816894531,94.43255615234375,169.027099609375,95.72293090820312
2015-02-10,118.47000122070312,95.90230560302734,170.82772827148438,94.96156311035156
2015-02-11,117.06999969482422,96.25135803222656,170.92686462402344,95.13721466064453
2015-02-12,117.33999633789062,97.3720703125,172.57061767578125,94.82243347167969
2015-02-13,117.9800033569336,98.20802307128906,173.281005859375,93.8487319946289
2015-02-17,116.01000213623047,98.29988098144531,173.55357360839844,92.4358139038086
2015-02-18,116.33999633789062,98.4376449584961,173.57009887695312,92.98484802246094
2015-02-19,115.94000244140625,98.92450714111328,173.4461669921875,92.36982727050781
2015-02-20,115.27999877929688,99.5859146118164,174.4869842529297,92.64080810546875
2015-02-23,115.43000030517578,99.68695068359375,174.462158203125,93.70232391357422
2015-02-24,115.26000213623047,99.76045227050781,174.95779418945312,94.93225860595703
2015-02-25,115.69999694824219,99.51241302490234,174.80914306640625,95.34224700927734
2015-02-26,116.06999969482422,100.01763916015625,174.6025848388672,94.03907012939453
2015-02-27,116.16000366210938,99.57675170898438,174.0078887939453,94.82975006103516
2015-03-02,115.68000030517578,100.47695922851562,175.10653686523438,93.06343078613281
2015-03-03,115.47000122070312,100.00847625732422,174.3878173828125,92.72601318359375
2015-03-04,115.11000061035156,99.62266540527344,173.6527099609375,92.75533294677734
2015-03-05,115.0,99.79721069335938,173.8426971435547,92.63800048828125
2015-03-06,111.86000061035156,98.66732025146484,171.3976593017578,90.59139251708984
2015-03-09,111.97000122070312,98.95209503173828,172.1080780029297,91.42765045166016
2015-03-10,111.41999816894531,97.11487579345703,169.3161163330078,92.63064575195312
2015-03-11,110.75,96.55451202392578,168.919677734375,93.30545806884766
2015-03-12,110.72000122070312,97.18836975097656,171.06729125976562,93.2394790649414
2015-03-13,110.87999725341797,96.76578521728516,170.01820373535156,92.95338439941406
2015-03-16,110.80999755859375,98.01510620117188,172.289794921875,93.84828186035156
2015-03-17,110.20999908447266,98.17127227783203,171.7777099609375,94.62586212158203
2015-03-18,112.37000274658203,99.13581085205078,173.8426971435547,96.45238494873047
